ko	gene	process	category	subcategory
K02002	glycine betaine/proline transport system substrate-binding protein	Glycine betaine/proline transport system	Osmoregulation	Glycine betaine/proline transport system
K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	Glycine betaine/proline ATP binding	Osmoregulation	Glycine betaine/proline ATP binding
K03316	monovalent cation:H+ antiporter, CPA1 family	Osmoregulation Na+ H+ antiporter	Osmoregulation	Osmoregulation Na+ H+ antiporter
K02001	glycine betaine/proline transport system permease protein	Glycine betaine/proline transport system	Osmoregulation	Glycine betaine/proline transport system
K03307	solute:Na+ symporter, SSS family	Osmoregulated proline transporter	Osmoregulation	Osmoregulated proline transporter
K05571	multicomponent Na+:H+ antiporter subunit G	Osmoregulation Na+ H+ antiporter	Osmoregulation	Osmoregulation Na+ H+ antiporter
K09476	outer membrane pore protein F	Outer membrane pore protein	Osmoregulation	Outer membrane pore protein
K05846	osmoprotectant transport system permease protein	Osmoprotectant	Osmoregulation	Osmoprotectant
K11928	sodium/proline symporter	Sodium/proline symporter	Osmoregulation	Sodium/proline symporter
K03313	Na+:H+ antiporter, NhaA family	Osmoregulation Na+ H+ antiporter	Osmoregulation	Osmoregulation Na+ H+ antiporter
K05568	multicomponent Na+:H+ antiporter subunit D	Osmoregulation Na+ H+ antiporter	Osmoregulation	Osmoregulation Na+ H+ antiporter
K05565	multicomponent Na+:H+ antiporter subunit A	Osmoregulation Na+ H+ antiporter	Osmoregulation	Osmoregulation Na+ H+ antiporter
K09475	outer membrane pore protein C	Outer membrane pore protein	Osmoregulation	Outer membrane pore protein
K01547	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	Potassium-transporting ATPase	Osmoregulation	Potassium-transporting ATPase
K00567	ogt, MGMT	SSBR (single strand breaks repair)_Direct repair	DNA repair and recombination	SSBR
K10778	ada	SSBR (single strand breaks repair)_Direct repair	DNA repair and recombination	SSBR
K13530	adaA	SSBR (single strand breaks repair)_Direct repair	DNA repair and recombination	SSBR
K13531	adaB	SSBR (single strand breaks repair)_Direct repair	DNA repair and recombination	SSBR
K01669	phr, PHR1	SSBR (single strand breaks repair)_Direct repair	DNA repair and recombination	SSBR
K06876	phrB	SSBR (single strand breaks repair)_Direct repair	DNA repair and recombination	SSBR
K03919	alkB	SSBR (single strand breaks repair)_Direct repair	DNA repair and recombination	SSBR
K03648	UNG, UDG	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K03649	mug	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K10800	SMUG1	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K21929	udg	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K01247	alkA	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K13529	ada_alkA	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K03652	MPG	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K03575	mutY	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K01246	tag	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K10563	mutM, fpg	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K05522	nei	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K10773	NTHL1, nth	BER (base excision repair)_DNA glycosylases	DNA repair and recombination	BER
K01142	xthA, xth	BER (base excision repair)_AP endonucleases	DNA repair and recombination	BER
K01151	nfo	BER (base excision repair)_AP endonucleases	DNA repair and recombination	BER
K05982	nfi	BER (base excision repair)_AP endonucleases	DNA repair and recombination	BER
K09120	dU	BER (base excision repair)_AP endonucleases	DNA repair and recombination	BER
