sample	depth	region
TARA_B100000493	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000480	50	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000473	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000457	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000436	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000420	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000513	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000524	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000713	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000834	35	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000832	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000767	40	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000768	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100000765	5	[SAO] South Atlantic Ocean (MRGID:1914)
TARA_B100001937	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100002054	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001217	40	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001215	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001196	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001135	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001158	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001741	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001758	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001776	40	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001769	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001564	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001171	25	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B100001297	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B110001437	40	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B110001435	5	[NAO] North Atlantic Ocean (MRGID:1912)
TARA_B110001446	25	[AO] Arctic Ocean (MRGID:1906)
TARA_B110001444	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110001467	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000044	40	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000023	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000085	35	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000083	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000110	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000204	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000501	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000206	30	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000235	17	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000233	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000255	20	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000253	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000283	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000975	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000966	35	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000969	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000303	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000906	36	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000901	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000875	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000481	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000857	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000457	5	[AO] Arctic Ocean (MRGID:1906)
TARA_B110000442	5	[AO] Arctic Ocean (MRGID:1906)
