sample	ngi_id	accession	mreads	layer	replicate	date	lat	long	depth	leg	station
S1R1	P23703_101	SAMEA114240611	101.12	10m	a	8/4/21	83.0862	29.4262	10	1	5
S1R2	P23703_102	SAMEA114240612	95.19	10m	b	8/4/21	83.0862	29.4262	10	1	5
S2R1	P23703_103	SAMEA114240613	73.06	chlMax	a	8/4/21	83.0862	29.4262	30	1	5
S2R2	P23703_104	SAMEA114240614	76.69	chlMax	b	8/4/21	83.0862	29.4262	30	1	5
S3R1	P23703_105	SAMEA114240615	68.29	10m	a	8/20/21	89.1378	149.9735	10	1	26
S3R2	P23703_106	SAMEA114240616	68.88	10m	b	8/20/21	89.1378	149.9735	10	1	26
S4R1	P23703_107	SAMEA114240617	72.71	chlMax	a	8/20/21	89.1378	149.9735	26	1	26
S4R2	P23703_108	SAMEA114240618	76.32	chlMax	b	8/20/21	89.1378	149.9735	26	1	26
S5R1	P23703_109	SAMEA114240619	77.88	10m	a	8/30/21	86.5168	57.3373	10	5	42
S5R2	P23703_110	SAMEA114240620	79.65	chlMax	b	8/30/21	86.5168	57.3373	45	5	42
S6R1	P23703_111	SAMEA114240621	84.49	10m	a	8/30/21	86.5168	57.3373	10	5	42
S6R2	P23703_112	SAMEA114240622	86.12	chlMax	b	8/30/21	86.5168	57.3373	45	5	42
S7R1	P23703_113	SAMEA114240623	78.35	10m	a	9/6/21	84.4833	24.0028	10	7	53
S7R2	P23703_114	SAMEA114240624	75.36	10m	b	9/6/21	84.4833	24.0028	10	7	53
S8R1	P23703_115	SAMEA114240625	78.58	chlMax	a	9/6/21	84.4833	24.0028	35	7	53
S8R2	P23703_116	SAMEA114240626	76.98	chlMax	b	9/6/21	84.4833	24.0028	35	7	53
S9R1	P23703_117	SAMEA114240627	87.94	10m	a	9/8/21	83.8833	2.5062	10	7	56
S9R2	P23703_118	SAMEA114240628	84.48	10m	b	9/8/21	83.8833	2.5062	10	7	56
S10R1	P23703_119	SAMEA114240629	91.37	chlMax	a	9/8/21	83.8833	2.5062	20	7	56
S10R2	P23703_120	SAMEA114240630	89.88	chlMax	b	9/8/21	83.8833	2.5062	20	7	56
